Business Name,City,State,Checkins Before Spike,Checkins After Spike,% Change in Checkins,Impact Category
Brennan's,New Orleans,LA,32,57,-78.13,Increase in Checkins
Oceana Grill,New Orleans,LA,13,24,-84.62,Increase in Checkins
Mellow Mushroom,St. Louis,MO,13,25,-92.31,Increase in Checkins
Goody Goody Burgers,Tampa,FL,34,66,-94.12,Increase in Checkins
Domenica,New Orleans,LA,37,72,-94.59,Increase in Checkins
Circus Circus Reno,Reno,NV,30,62,-106.67,Increase in Checkins
Ichicoro Ramen,Tampa,FL,34,71,-108.82,Increase in Checkins
Moby Dick Restaurant,Santa Barbara,CA,13,28,-115.38,Increase in Checkins
St. Louis Union Station Soda Fountain,St. Louis,MO,15,34,-126.67,Increase in Checkins
Oceano,Reno,NV,23,54,-134.78,Increase in Checkins
Bonchon Philadelphia,Philadelphia,PA,26,67,-157.69,Increase in Checkins
Dave & Buster's,Tampa,FL,26,68,-161.54,Increase in Checkins
Rocco's Tacos and Tequila Bar - Tampa,Tampa,FL,21,55,-161.9,Increase in Checkins
Ford's Garage,Brandon,FL,26,73,-180.77,Increase in Checkins
Twisted Ranch,St. Louis,MO,12,35,-191.67,Increase in Checkins
Dr. BBQ,Saint Petersburg,FL,15,48,-220.0,Increase in Checkins
Shake Shack,Metairie,LA,17,60,-252.94,Increase in Checkins
